,time,open,high,low,close
2192,2024-10-01 10:31:15,1.10716,1.10726,1.10716,1.10725
2193,2024-10-01 10:31:20,1.10724,1.10728,1.10722,1.10722
2194,2024-10-01 10:31:25,1.10728,1.10743,1.10728,1.10743
2195,2024-10-01 10:31:30,1.10743,1.10746,1.10741,1.10742
2196,2024-10-01 10:31:35,1.10744,1.10749,1.10743,1.10748
2197,2024-10-01 10:31:40,1.1075,1.10751,1.10748,1.10748
2198,2024-10-01 10:31:45,1.10748,1.10748,1.1074,1.1074
2199,2024-10-01 10:31:50,1.10743,1.10746,1.10737,1.10737
2200,2024-10-01 10:31:55,1.10736,1.10736,1.1073,1.10731
2201,2024-10-01 10:32:00,1.10731,1.10748,1.10731,1.10748
2202,2024-10-01 10:32:05,1.10749,1.1075,1.10744,1.10744
2203,2024-10-01 10:32:10,1.10744,1.10754,1.10742,1.10744
2204,2024-10-01 10:32:15,1.10744,1.1075,1.1074,1.1075
2205,2024-10-01 10:32:20,1.10749,1.1075,1.10745,1.10745
2206,2024-10-01 10:32:25,1.10745,1.10753,1.10743,1.10753
2207,2024-10-01 10:32:30,1.10753,1.1076,1.10752,1.10759
2208,2024-10-01 10:32:35,1.10761,1.10775,1.10761,1.10772
2209,2024-10-01 10:32:40,1.10772,1.10774,1.1077,1.10773
2210,2024-10-01 10:32:45,1.10773,1.10775,1.10763,1.10763
2211,2024-10-01 10:32:50,1.10764,1.10771,1.10762,1.10771
2212,2024-10-01 10:32:55,1.10771,1.10784,1.10771,1.10783
2213,2024-10-01 10:33:00,1.10783,1.1079,1.10781,1.10782
2214,2024-10-01 10:33:05,1.10781,1.10792,1.1078,1.10792
2215,2024-10-01 10:33:10,1.10792,1.10802,1.10792,1.10801
2216,2024-10-01 10:33:15,1.10801,1.10809,1.10798,1.10803
2217,2024-10-01 10:33:20,1.10801,1.10804,1.10798,1.10804
2218,2024-10-01 10:33:25,1.10803,1.10805,1.10797,1.10805
2219,2024-10-01 10:33:30,1.10805,1.10806,1.108,1.10806
2220,2024-10-01 10:33:35,1.10808,1.10812,1.10807,1.10811
2221,2024-10-01 10:33:40,1.10809,1.10818,1.10809,1.10818
2222,2024-10-01 10:33:45,1.1082,1.1082,1.1081,1.1081
2223,2024-10-01 10:33:50,1.10809,1.1082,1.10809,1.1082
2224,2024-10-01 10:33:55,1.10821,1.10825,1.10819,1.10823
2225,2024-10-01 10:34:00,1.10825,1.10843,1.10825,1.10841
2226,2024-10-01 10:34:05,1.10841,1.10846,1.10833,1.10844
2227,2024-10-01 10:34:10,1.10846,1.10847,1.10839,1.10845
2228,2024-10-01 10:34:15,1.10845,1.10851,1.10844,1.10848
2229,2024-10-01 10:34:20,1.10848,1.10864,1.10848,1.10862
2230,2024-10-01 10:34:25,1.10862,1.10864,1.10847,1.10847
2231,2024-10-01 10:34:30,1.10846,1.1085,1.10843,1.10843
2232,2024-10-01 10:34:35,1.10843,1.10843,1.10829,1.1083
2233,2024-10-01 10:34:40,1.1083,1.10832,1.10825,1.10832
2234,2024-10-01 10:34:45,1.10833,1.10833,1.10824,1.10825
2235,2024-10-01 10:34:50,1.10825,1.10834,1.10824,1.10833
2236,2024-10-01 10:34:55,1.10831,1.10833,1.10817,1.10817
2237,2024-10-01 10:35:00,1.10816,1.10818,1.10805,1.10805
2238,2024-10-01 10:35:05,1.10805,1.10823,1.10804,1.10823
2239,2024-10-01 10:35:10,1.1082,1.10827,1.1082,1.10827
2240,2024-10-01 10:35:15,1.10826,1.10834,1.10823,1.10834
2241,2024-10-01 10:35:20,1.10834,1.10836,1.10831,1.10833
2242,2024-10-01 10:35:25,1.10832,1.10836,1.1083,1.10836
2243,2024-10-01 10:35:30,1.10837,1.10837,1.10822,1.10825
2244,2024-10-01 10:35:35,1.10825,1.10826,1.10822,1.10826
2245,2024-10-01 10:35:40,1.10825,1.10829,1.10824,1.10829
2246,2024-10-01 10:35:45,1.10831,1.10844,1.10828,1.10844
2247,2024-10-01 10:35:50,1.10844,1.10844,1.10834,1.10837
2248,2024-10-01 10:35:55,1.10836,1.10856,1.10836,1.10856
2249,2024-10-01 10:36:00,1.10848,1.10848,1.1084,1.1084
2250,2024-10-01 10:36:05,1.1084,1.1084,1.10829,1.1083
2251,2024-10-01 10:36:10,1.10831,1.10834,1.10828,1.1083
2252,2024-10-01 10:36:15,1.10831,1.10833,1.10828,1.10831
